torneo,id_partido,fase,grupo,jornada,fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,anfitrion_local,estadio,ciudad,fuente
2026,M-2026-039,Fase de grupos,G,2,2026-06-21,Belgium,Iran,0.0,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
2026,M-2026-040,Fase de grupos,G,2,2026-06-21,New Zealand,Egypt,1.0,3.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
2026,M-2026-045,Fase de grupos,G,2,2026-06-21,Spain,Saudi Arabia,4.0,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
2026,M-2026-046,Fase de grupos,H,2,2026-06-21,Uruguay,Cape Verde,-1.0,2.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
2026,M-2026-051,Fase de grupos,,2,2026-06-22,France,Iraq,,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
2026,M-2026-052,Fase de grupos,G,2,2026-06-22,Norway,Senegal,3.0,2.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
2026,M-2026-057,Fase de grupos,G,2,2026-06-22,Argentina,Austria,2.0,,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
2026,M-2026-058,Fase de grupos,,2,2026-06-22,Jordan,Algeria,1.0,2.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
2026,M-2026-063,Fase de grupos,,2,2026-06-23,Portugal,Uzbekistan,5.0,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
2026,M-2026-064,Fase de grupos,G,2,2026-06-23,Colombia,DR Congo,1.0,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
2026,M-2026-069,Fase de grupos,G,2,2026-06-23,England,Ghana,0.0,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
2026,M-2026-070,Fase de grupos,,2,2026-06-23,Panama,Croatia,0.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
2026,M-2026-005,Fase de grupos,A,3,2026-06-24,Czechia,Mexico,0.0,3.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
2026,M-2026-006,Fase de grupos,G,3,2026-06-24,South Africa,South Korea,1.0,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
2026,M-2026-011,Fase de grupos,G,3,2026-06-24,Switzerland,Canada,,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
2026,M-2026-012,Fase de grupos,B,3,2026-06-24,Bosnia and Herzegovina,Qatar,3.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
2026,M-2026-017,Fase de grupos,C,3,2026-06-25,Scotland,Brazil,0.0,3.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
2026,M-2026-018,Fase de grupos,G,3,2026-06-25,Morocco,Haiti,4.0,2.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
2026,M-2026-023,Fase de grupos,G,3,2026-06-25,Turkey,United States,3.0,2.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
2026,M-2026-024,Fase de grupos,D,3,,Paraguay,Australia,0.0,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
2026,M-2026-029,Fase de grupos,E,3,2026-06-25,Curacao,Ivory Coast,0.0,,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
2026,M-2026-030,Fase de grupos,G,3,2026-06-25,Ecuador,Germany,2.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
2026,M-2026-035,Fase de grupos,G,3,2026-06-26,Japan,Sweden,1.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
